TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-10 07:27:35,1768030055809,www.mone.hair/api/auth/csrf,GET,nxtPnextauth=csrf,200,8655l-1768030055809-2fcf4f3f11b6,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,9,iad1,313,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCVBEK57X7XRZ75JCY2M8E,2pmtmJiTfjWC,1
2026-01-10 07:27:35,1768030055580,www.mone.hair/api/auth/providers,GET,nxtPnextauth=providers,200,2br9p-1768030055580-21df2e8b555d,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,10,iad1,313,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCVB7ENR853ZFQ82ZG9ZEC,2pmtmJiTfjWC,1
2026-01-10 07:27:27,1768030047623,www.mone.hair/api/auth/session,GET,nxtPnextauth=session,200,qgt5t-1768030047623-734a000b714f,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,5,iad1,313,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCV373YAJQJ3N730AJDVYC,2pmtmJiTfjWC,2
2026-01-10 07:27:27,1768030047377,www.mone.hair/api/auth/session,GET,nxtPnextauth=session,200,8655l-1768030047377-5d1a6ad7cc4d,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,11,iad1,394,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCV37AQES2C7SHDNP1Q47B,dsZcUpWnoM3R,1
2026-01-10 07:27:27,1768030047371,www.mone.hair/api/holidays,GET,year=2026&month=1,200,2br9p-1768030047371-08b14d3f8634,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/holidays,www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,868,iad1,313,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCV373YAJQJ3N730AJDVYC,2pmtmJiTfjWC,2
2026-01-10 07:27:26,1768030046941,www.mone.hair/admin/login,GET,,304,mxwvx-1768030046941-c1a757ac89b9,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,HIT,middleware,/_middleware,www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,6,hnd1,257,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCV2Q27D09Y9FV05DGJHBN,byvZwv0ohbx4,1
2026-01-10 07:27:26,1768030046941,www.mone.hair/admin/login,GET,,304,mxwvx-1768030046941-c1a757ac89b9,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,HIT,static,/admin/login,www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,32,hnd1,,,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,,,
2026-01-10 07:27:26,1768030046833,www.mone.hair/admin,GET,,307,qgt5t-1768030046833-b31c2f5c3a9a,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,,middleware,/_middleware,www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,8,hnd1,257,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCV2M19W1V9ABBQV15T49W,byvZwv0ohbx4,1
2026-01-10 07:27:26,1768030046833,www.mone.hair/admin,GET,,307,qgt5t-1768030046833-b31c2f5c3a9a,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,,redirect,/admin,www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,42,hnd1,,,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,,,
2026-01-10 07:27:13,1768030033076,menshair-mone-id5o.vercel.app/api/admin/holidays,GET,year=2026&month=1,200,jff5w-1768030033076-2a8355ce189b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Safari/605.1.15",,production,master,MISS,middleware,/_middleware,menshair-mone-id5o.vercel.app,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,7,kix1,251,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCTN69WYCBZBFTA4WM5769,f4AO041ZJVNa,1
